                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8035,                 1.6908,                  1.169,                0.28229,                0.23312,                0.20614,                0.11303,                 1.7129,                 1.5326,                 1.1392,               0.008317,               0.008317,               0.008317
                     36,                 1.8186,                 1.7023,                 1.1658,                0.29018,                0.23794,                0.21001,                0.11538,                 1.6983,                 1.5219,                 1.1364,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.8244,                 1.6993,                 1.1696,                0.28812,                0.23267,                0.21026,                 0.1148,                  1.707,                 1.5206,                 1.1395,               0.008218,               0.008218,               0.008218
                     38,                 1.8159,                 1.6885,                  1.167,                0.31027,                0.23928,                0.21809,                0.11908,                 1.6924,                 1.5064,                 1.1409,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.8221,                 1.6991,                 1.1688,                0.27038,                0.24443,                0.21133,                0.11562,                 1.7034,                 1.5165,                 1.1384,               0.008119,               0.008119,               0.008119
                     40,                 1.8071,                  1.672,                 1.1628,                0.28909,                0.24386,                0.21569,                0.11776,                 1.6926,                 1.5043,                 1.1356,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.8021,                 1.6715,                 1.1635,                0.30174,                0.24644,                0.21989,                 0.1206,                 1.6946,                  1.492,                  1.134,                0.00802,                0.00802,                0.00802
                     42,                 1.7891,                 1.6513,                 1.1564,                0.28977,                0.24533,                0.21483,                 0.1187,                 1.6958,                 1.5114,                 1.1348,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.7895,                 1.6536,                  1.158,                0.30092,                0.24432,                0.21984,                 0.1212,                 1.6805,                 1.4842,                 1.1295,               0.007921,               0.007921,               0.007921
                     44,                  1.801,                 1.6603,                  1.157,                0.30065,                0.24519,                0.22145,                0.12257,                 1.6839,                 1.4969,                 1.1331,              0.0078715,              0.0078715,              0.0078715
                     45,                  1.787,                 1.6546,                 1.1592,                0.30545,                0.25311,                0.22642,                0.12381,                 1.6788,                 1.4786,                 1.1299,               0.007822,               0.007822,               0.007822
                     46,                 1.7906,                  1.655,                 1.1565,                 0.3005,                0.25379,                0.22372,                0.12297,                 1.6793,                 1.4838,                 1.1288,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.7933,                 1.6548,                 1.1595,                0.30117,                0.25282,                0.22961,                0.12589,                 1.6692,                 1.4796,                 1.1293,               0.007723,               0.007723,               0.007723
                     48,                 1.7947,                 1.6422,                 1.1557,                0.30359,                0.25459,                0.22797,                0.12593,                 1.6694,                  1.466,                 1.1234,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.7603,                 1.6206,                 1.1458,                0.29359,                0.24995,                0.22578,                0.12483,                 1.6726,                 1.4764,                 1.1242,               0.007624,               0.007624,               0.007624
                     50,                 1.7727,                 1.6288,                 1.1475,                0.32221,                0.25684,                0.23182,                0.12842,                 1.6609,                 1.4639,                 1.1201,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.7649,                 1.6161,                 1.1473,                 0.3181,                0.26046,                0.23628,                 0.1306,                 1.6611,                 1.4639,                 1.1223,               0.007525,               0.007525,               0.007525
                     52,                 1.7704,                 1.6197,                 1.1502,                0.32342,                0.24965,                0.23168,                0.12832,                 1.6594,                 1.4646,                 1.1218,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.7708,                 1.6191,                 1.1486,                 0.3141,                0.25836,                0.23283,                0.12966,                 1.6555,                 1.4558,                 1.1212,               0.007426,               0.007426,               0.007426
                     54,                  1.775,                 1.6174,                 1.1482,                0.30944,                0.25805,                0.23296,                0.12939,                 1.6564,                 1.4517,                 1.1175,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.7732,                 1.6161,                 1.1457,                0.32033,                0.26208,                0.23395,                0.12984,                 1.6626,                 1.4563,                 1.1209,               0.007327,               0.007327,               0.007327
                     56,                 1.7605,                 1.6058,                 1.1468,                0.31298,                0.26031,                0.23644,                0.13133,                 1.6486,                  1.448,                  1.117,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.7515,                  1.602,                 1.1467,                0.32884,                0.26297,                0.24009,                0.13358,                 1.6507,                 1.4404,                 1.1179,               0.007228,               0.007228,               0.007228
                     58,                 1.7648,                 1.6053,                 1.1462,                0.32265,                0.26113,                0.24004,                0.13383,                 1.6509,                 1.4454,                 1.1195,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.7677,                  1.609,                 1.1485,                0.32962,                0.26309,                0.24132,                0.13478,                 1.6451,                 1.4425,                 1.1167,               0.007129,               0.007129,               0.007129
                     60,                 1.7619,                 1.5991,                 1.1423,                0.31874,                0.26432,                0.24098,                0.13408,                 1.6447,                 1.4417,                 1.1162,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.7569,                 1.5915,                 1.1429,                0.33188,                0.26435,                0.24271,                0.13522,                 1.6412,                 1.4343,                 1.1142,                0.00703,                0.00703,                0.00703
                     62,                 1.7543,                 1.5886,                 1.1423,                0.32051,                0.26877,                0.24274,                0.13588,                 1.6368,                 1.4334,                 1.1156,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.7632,                 1.5928,                 1.1442,                 0.3173,                0.26433,                0.23834,                 0.1331,                 1.6461,                 1.4359,                 1.1153,               0.006931,               0.006931,               0.006931
                     64,                  1.769,                 1.5937,                 1.1481,                 0.3176,                0.27163,                 0.2454,                0.13667,                 1.6351,                 1.4307,                 1.1119,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.7532,                 1.5865,                 1.1413,                0.32073,                0.27152,                0.24652,                0.13839,                 1.6331,                 1.4298,                  1.112,               0.006832,               0.006832,               0.006832
                     66,                 1.7528,                 1.5842,                 1.1425,                0.32547,                0.26894,                 0.2442,                0.13731,                 1.6319,                 1.4277,                 1.1115,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.7513,                 1.5775,                 1.1398,                0.32181,                0.27185,                0.24307,                0.13656,                 1.6355,                  1.427,                 1.1145,               0.006733,               0.006733,               0.006733
                     68,                 1.7507,                 1.5759,                 1.1376,                0.33072,                0.26824,                 0.2475,                0.13906,                 1.6289,                 1.4216,                 1.1101,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.7565,                 1.5824,                 1.1371,                0.33001,                0.27557,                0.24766,                0.13889,                 1.6283,                 1.4163,                 1.1103,               0.006634,               0.006634,               0.006634
                     70,                 1.7447,                 1.5663,                 1.1368,                0.33045,                0.27096,                 0.2501,                0.14035,                 1.6289,                 1.4163,                 1.1122,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.7512,                 1.5736,                 1.1381,                0.32699,                0.27309,                0.24892,                0.13943,                 1.6217,                 1.4142,                 1.1078,               0.006535,               0.006535,               0.006535
                     72,                 1.7468,                 1.5736,                 1.1377,                0.33267,                0.27252,                0.25182,                0.14115,                 1.6214,                 1.4101,                 1.1095,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.7455,                 1.5604,                 1.1357,                0.32909,                0.27064,                0.24893,                0.14022,                 1.6222,                 1.4104,                 1.1084,               0.006436,               0.006436,               0.006436
                     74,                 1.7383,                 1.5552,                  1.132,                0.32736,                0.27723,                0.25106,                0.14107,                 1.6202,                 1.4092,                 1.1084,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.7318,                 1.5534,                 1.1332,                 0.3311,                0.27654,                0.25375,                0.14282,                 1.6164,                 1.4032,                 1.1073,               0.006337,               0.006337,               0.006337
                     76,                 1.7307,                  1.543,                 1.1295,                0.34068,                0.27357,                0.25288,                0.14257,                 1.6219,                 1.4075,                 1.1071,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.7425,                 1.5533,                 1.1368,                0.32984,                0.27645,                0.25285,                0.14211,                 1.6176,                 1.4074,                 1.1069,               0.006238,               0.006238,               0.006238
                     78,                 1.7256,                 1.5493,                 1.1311,                0.33402,                0.27312,                0.25295,                0.14228,                 1.6181,                 1.4042,                 1.1064,              0.0061885,              0.0061885,              0.0061885
                     79,                  1.741,                 1.5623,                 1.1352,                0.33205,                0.27619,                0.25442,                0.14328,                 1.6177,                 1.4005,                 1.1067,               0.006139,               0.006139,               0.006139
                     80,                 1.7286,                 1.5476,                 1.1294,                0.33832,                  0.277,                0.25629,                0.14445,                 1.6138,                 1.3974,                 1.1056,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.7226,                 1.5379,                 1.1247,                0.33508,                0.27882,                0.25552,                0.14392,                 1.6117,                 1.3976,                 1.1048,                0.00604,                0.00604,                0.00604
                     82,                 1.7259,                 1.5481,                 1.1318,                0.33915,                0.27554,                0.25623,                0.14434,                 1.6128,                 1.3986,                 1.1065,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.7309,                 1.5516,                 1.1347,                0.33365,                0.27834,                 0.2573,                0.14515,                 1.6089,                 1.3929,                 1.1041,               0.005941,               0.005941,               0.005941
                     84,                  1.715,                 1.5374,                 1.1263,                0.33983,                0.27958,                 0.2587,                0.14581,                 1.6094,                 1.3914,                 1.1043,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.7204,                 1.5336,                 1.1272,                0.33504,                0.28219,                  0.258,                0.14552,                 1.6067,                 1.3911,                 1.1038,               0.005842,               0.005842,               0.005842
                     86,                 1.7208,                 1.5402,                 1.1303,                0.33453,                0.28139,                0.25988,                0.14623,                 1.6063,                 1.3899,                 1.1038,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.7278,                 1.5395,                 1.1294,                 0.3356,                 0.2828,                0.26032,                0.14676,                 1.6056,                 1.3887,                 1.1046,               0.005743,               0.005743,               0.005743
                     88,                 1.7127,                 1.5252,                 1.1268,                0.34544,                0.28272,                0.26127,                0.14682,                 1.6056,                  1.387,                 1.1038,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.7188,                 1.5299,                  1.126,                0.34333,                0.28035,                0.25931,                0.14631,                 1.6046,                 1.3867,                  1.102,               0.005644,               0.005644,               0.005644
                     90,                 1.7229,                 1.5309,                 1.1269,                 0.3508,                0.28098,                0.26077,                0.14748,                 1.6025,                 1.3839,                 1.1015,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.7174,                 1.5284,                 1.1288,                0.34378,                0.28123,                0.26143,                0.14777,                  1.602,                 1.3839,                 1.1011,               0.005545,               0.005545,               0.005545
                     92,                 1.7112,                 1.5177,                 1.1268,                0.34817,                0.28066,                 0.2623,                0.14839,                 1.6004,                 1.3828,                 1.1005,              0.0054955,              0.0054955,              0.0054955
                     93,                  1.719,                 1.5146,                 1.1261,                0.35474,                0.27833,                 0.2628,                0.14922,                 1.5999,                 1.3823,                 1.1002,               0.005446,               0.005446,               0.005446
                     94,                 1.7155,                 1.5295,                 1.1266,                0.35117,                0.27978,                0.26348,                0.14856,                 1.5955,                  1.379,                 1.0994,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.7133,                 1.5231,                 1.1259,                0.34993,                0.27962,                0.26269,                0.14805,                 1.5962,                  1.378,                 1.0995,               0.005347,               0.005347,               0.005347
                     96,                 1.7083,                 1.5194,                 1.1241,                0.35127,                0.28317,                0.26357,                0.14863,                 1.5955,                 1.3777,                 1.0987,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.7017,                 1.5105,                 1.1238,                0.35816,                0.28175,                0.26462,                 0.1495,                 1.5949,                 1.3766,                 1.0989,               0.005248,               0.005248,               0.005248
                     98,                 1.7086,                 1.5147,                 1.1223,                0.36823,                0.27865,                 0.2651,                0.14959,                 1.5955,                 1.3758,                 1.0993,              0.0051985,              0.0051985,              0.0051985
                     99,                  1.702,                  1.508,                 1.1221,                0.36654,                0.27683,                0.26358,                 0.1495,                  1.597,                 1.3762,                 1.0995,               0.005149,               0.005149,               0.005149
                    100,                 1.7027,                 1.5097,                 1.1205,                0.35938,                0.28056,                0.26405,                0.14924,                 1.5966,                 1.3735,                  1.099,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.6961,                 1.5028,                 1.1188,                0.35845,                0.28088,                0.26434,                0.14971,                 1.5944,                 1.3736,                 1.0977,                0.00505,                0.00505,                0.00505
                    102,                 1.7084,                 1.5089,                 1.1186,                0.35634,                0.28207,                0.26459,                0.15009,                 1.5932,                 1.3722,                  1.097,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.7058,                 1.5124,                 1.1232,                0.35417,                0.28337,                0.26506,                0.15013,                 1.5929,                 1.3712,                 1.0967,               0.004951,               0.004951,               0.004951
                    104,                 1.7003,                 1.5071,                 1.1206,                0.35661,                0.28263,                0.26461,                0.15016,                 1.5922,                 1.3704,                 1.0965,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.7045,                 1.5025,                 1.1205,                0.35346,                0.28556,                0.26513,                0.15065,                 1.5922,                   1.37,                 1.0966,               0.004852,               0.004852,               0.004852
                    106,                  1.706,                 1.5108,                 1.1221,                0.35506,                0.28439,                0.26579,                0.15045,                 1.5918,                 1.3685,                 1.0965,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.7005,                 1.4966,                 1.1197,                0.35481,                  0.286,                0.26622,                 0.1507,                 1.5906,                 1.3667,                 1.0964,               0.004753,               0.004753,               0.004753
                    108,                 1.7141,                 1.5027,                 1.1206,                0.35509,                0.28776,                0.26678,                0.15087,                  1.589,                 1.3657,                 1.0958,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.6977,                  1.495,                 1.1171,                0.35611,                0.28401,                0.26654,                0.15071,                 1.5885,                 1.3657,                 1.0955,               0.004654,               0.004654,               0.004654
                    110,                 1.7037,                 1.4948,                 1.1177,                0.35901,                0.28395,                0.26716,                0.15134,                 1.5878,                 1.3647,                 1.0956,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.7015,                 1.5002,                 1.1205,                0.36243,                0.28516,                0.26812,                0.15188,                 1.5869,                 1.3638,                 1.0951,               0.004555,               0.004555,               0.004555
                    112,                 1.6984,                 1.4986,                  1.118,                0.36659,                0.28401,                0.26755,                0.15166,                 1.5867,                 1.3636,                 1.0948,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.6932,                 1.4907,                 1.1173,                 0.3655,                0.28637,                0.26836,                0.15229,                 1.5858,                 1.3625,                 1.0948,               0.004456,               0.004456,               0.004456
                    114,                 1.6958,                 1.4942,                 1.1167,                0.36528,                0.28391,                0.26831,                0.15222,                  1.585,                 1.3622,                 1.0946,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.6964,                 1.4955,                 1.1213,                0.36158,                0.28707,                0.26849,                0.15246,                 1.5843,                 1.3615,                 1.0943,               0.004357,               0.004357,               0.004357
                    116,                 1.7047,                 1.4992,                 1.1194,                0.35699,                0.28918,                0.26928,                0.15305,                 1.5839,                 1.3603,                 1.0939,              0.0043075,              0.0043075,              0.0043075
                    117,                 1.6908,                  1.489,                 1.1174,                 0.3578,                0.28986,                0.26974,                0.15343,                 1.5843,                 1.3589,                  1.094,               0.004258,               0.004258,               0.004258
                    118,                 1.6846,                 1.4827,                 1.1142,                0.35695,                0.29004,                0.27013,                0.15351,                 1.5837,                 1.3576,                  1.094,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.6934,                  1.488,                 1.1184,                0.35492,                0.29067,                0.27037,                0.15357,                 1.5828,                 1.3575,                 1.0936,               0.004159,               0.004159,               0.004159
                    120,                  1.686,                 1.4858,                  1.113,                0.35267,                0.29177,                0.27035,                0.15375,                 1.5823,                 1.3575,                 1.0934,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.6961,                 1.4885,                 1.1147,                0.35251,                0.29081,                 0.2706,                0.15359,                 1.5817,                 1.3565,                 1.0932,                0.00406,                0.00406,                0.00406
